Code,Company,Price,Change,Volume,Value,Capitalisation
PCT,Precinct Properties New Zealand Limited (NS),$1.700,-$0.015 / -0.87%,"347,077","$591,115.35","$2,513,004,146"
ARG,Argosy Property Limited,$1.650,-$0.070 / -4.07%,"660,542","$1,104,655.49","$1,390,239,672"
ARV,Arvida Group Limited,$2.100,$0.000 / 0.00%,"189,510","$397,031.81","$1,140,667,206"
ASD,Smartshares Australian Dividend ETF,$1.660,-$0.019 / -1.13%,"12,438","$20,713.47","$32,668,038"
ASF,Smartshares Australian Financials ETF,$8.048,$0.101 / 1.27%,"1,415","$11,315.80","$30,304,486"
ASP,Smartshares Australian Property ETF,$1.647,$0.002 / 0.12%,"49,539","$81,595.54","$66,987,659"
ASR,Smartshares Australian Resources ETF,$5.400,-$0.050 / -0.92%,"21,047","$114,193.53","$44,186,218"
ATM,The a2 Milk Company Limited,$5.760,-$0.170 / -2.87%,"1,955,135","$11,328,868.98","$4,283,207,574"
AUS,Smartshares S&P/ASX 200 ETF,$3.123,-$0.003 / -0.10%,"16,074","$50,237.70","$51,256,887"
AGL,Accordant Group Limited,$1.690,$0.070 / 4.32%,"8,955","$14,867.90","$57,135,948"
GXH,Green Cross Health Limited,$1.160,$0.040 / 3.57%,"91,353","$105,968.32","$166,057,200"
BFG,Burger Fuel Group Limited,$0.385,$0.010 / 2.67%,"4,591","$1,750.40","$19,379,692"
BGP,Briscoe Group Limited,$6.900,$0.090 / 1.32%,"13,931","$95,721.36","$1,535,638,470"
BLT,Blis Technologies Limited,$0.068,$0.003 / 4.62%,"329,508","$21,483.20","$86,618,509"
BOT,Smartshares Automation and Robotics ETF,$4.763,-$0.031 / -0.65%,"55,911","$266,894.00","$52,206,724"
BRM,Barramundi Limited,$1.050,-$0.003 / -0.28%,"84,098","$88,407.05","$224,452,922"
BRMWF,Barramundi Limited,$0.336,$0.000 / 0.00%,"1,200",$403.20,"$17,651,060"
MHM,MHM Automation Limited,$0.650,$0.020 / 3.17%,"76,314","$49,579.00","$42,652,394"
BRW,Bremworth Limited,$0.810,$0.030 / 3.85%,"146,451","$116,295.67","$55,630,069"
CBD,Cannasouth Limited,$0.405,-$0.005 / -1.22%,"107,612","$44,196.48","$55,015,864"
CEN,Contact Energy Limited,$8.040,-$0.050 / -0.62%,"683,477","$5,494,037.76","$6,240,021,443"
CGF,Cooks Global Foods Limited,$0.042,-$0.001 / -2.33%,"15,919",$682.16,"$26,369,021"
VHP,Vital Healthcare Property Trust,$3.130,-$0.028 / -0.89%,"97,438","$306,054.90","$1,639,630,390"
CMO,The Colonial Motor Company Limited,$10.600,-$0.050 / -0.47%,"3,880","$41,141.60","$346,563,099"
CNU,Chorus Limited (NS),$7.120,-$0.020 / -0.28%,"648,352","$4,623,778.09","$3,182,817,174"
CO2,Carbon Fund,$1.960,$0.020 / 1.03%,"175,402","$342,054.55","$53,549,015"
GMT,Goodman Property Trust (NS),$2.540,-$0.025 / -0.97%,"450,729","$1,147,501.80","$3,549,150,479"
CVT,Comvita Limited,$3.720,-$0.020 / -0.53%,"38,153","$141,995.83","$261,490,053"
DGL,Delegat Group Limited,$14.600,$0.000 / 0.00%,"360,377","$5,189,961.41","$1,476,500,803"
DIV,Smartshares NZ Dividend ETF,$1.362,$0.002 / 0.15%,"30,621","$41,670.04","$112,919,621"
SPY,Smartpay Holdings Limited,$0.760,$0.000 / 0.00%,"1,558","$1,184.08","$181,096,572"
EBO,Ebos Group Limited,$34.860,-$0.140 / -0.40%,"63,896","$2,229,539.04","$5,723,123,628"
ACE,Ascension Capital Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$1,914,888"
EMF,Smartshares Emerging Markets ETF,$1.488,$0.001 / 0.07%,"40,196","$60,269.77","$160,881,303"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.481,-$0.016 / -0.64%,"422,803","$1,060,740.48","$38,536,569"
ENS,Enprise Group Limited,$2.140,$0.000 / 0.00%,905,"$1,930.96","$34,577,476"
ERD,EROAD Limited,$6.150,-$0.050 / -0.81%,"48,796","$301,826.77","$596,683,990"
ESG,Smartshares Global Equities ESG ETF,$2.753,-$0.006 / -0.22%,"12,527","$34,548.00","$22,988,145"
EUF,Smartshares Europe ETF,$1.989,-$0.004 / -0.20%,"56,110","$111,380.14","$205,207,191"
EUG,Smartshares Europe Equities ESG ETF,$2.850,$0.011 / 0.39%,"10,470","$29,698.99","$41,390,325"
EVO,Evolve Education Group Limited,$0.750,-$0.010 / -1.32%,"59,782","$46,208.33","$119,662,113"
FPH,Fisher & Paykel Healthcare Corporation Limited,$33.360,-$0.510 / -1.51%,"343,056","$11,551,144.82","$19,230,650,056"
FBU,Fletcher Building Limited,$7.470,-$0.010 / -0.13%,"307,090","$2,283,204.67","$6,134,005,582"
FNZ,Smartshares NZ Top 50 ETF,$3.587,-$0.015 / -0.42%,"145,671","$524,518.29","$805,823,779"
FRE,Freightways Limited,$12.750,-$0.100 / -0.78%,"73,533","$935,807.18","$2,113,165,187"
FSF,Fonterra Shareholders' Fund (NS),$3.720,$0.000 / 0.00%,"113,044","$419,496.36","$399,599,283"
GBF,Smartshares Global Bond ETF,$3.343,$0.002 / 0.06%,"28,975","$96,822.66","$224,665,038"
GENWB,General Capital Limited,$0.002,$0.000 / 0.00%,0,$0.00,"$645,970"
GEO,Geo Limited,$0.126,-$0.002 / -1.56%,"23,159","$2,918.04","$14,323,238"
GFL,Geneva Finance Limited,$0.760,$0.000 / 0.00%,"3,272","$2,485.44","$55,430,809"
GNE,Genesis Energy Limited (NS),$3.385,$0.005 / 0.15%,"204,791","$694,312.54","$3,532,479,884"
FWL,Foley Wines Limited,$1.480,-$0.010 / -0.67%,"45,579","$68,011.91","$97,289,499"
GTK,Gentrack Group Limited,$1.940,-$0.020 / -1.02%,"61,567","$119,595.12","$191,957,807"
THL,Tourism Holdings Limited,$2.400,$0.020 / 0.84%,"43,250","$102,778.50","$364,566,358"
NTL,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,"1,062,655","$3,187.98","$8,376,676"
HGH,Heartland Group Holdings Limited,$2.350,$0.000 / 0.00%,"199,584","$466,700.73","$1,376,875,258"
HLG,Hallenstein Glasson Holdings Limited,$7.170,$0.060 / 0.84%,"15,066","$107,215.53","$427,683,767"
HMY,Harmoney Corp Limited,$2.050,-$0.060 / -2.84%,"19,523","$40,718.67","$206,871,084"
IFT,Infratil Limited,$7.430,-$0.120 / -1.59%,"285,888","$2,133,329.53","$5,371,537,320"
IKE,ikeGPS Group Limited,$1.040,$0.000 / 0.00%,"8,875","$9,327.44","$164,614,701"
IPL,Investore Property Limited (NS),$2.030,-$0.010 / -0.49%,"52,353","$106,386.81","$747,314,117"
JPN,Smartshares Japan Equities ESG ETF,$2.279,$0.012 / 0.53%,"2,257","$5,139.29","$26,527,195"
JLG,Just Life Group Limited,$0.940,$0.020 / 2.17%,158,$148.52,"$91,526,899"
KFL,Kingfish Limited,$2.060,-$0.005 / -0.24%,"41,475","$85,475.85","$647,224,277"
CDI,CDL Investments New Zealand Limited,$1.170,-$0.005 / -0.43%,"2,115","$2,486.82","$336,390,237"
KMD,Kathmandu Holdings Limited,$1.480,$0.010 / 0.68%,"815,805","$1,205,905.95","$1,049,322,048"
KPG,Kiwi Property Group Limited,$1.165,-$0.005 / -0.43%,"582,692","$678,239.34","$1,829,160,556"
SNC,Southern Charter Financial Group Limited,$0.008,$0.000 / 0.00%,0,$0.00,"$4,119,156"
LIC,Livestock Improvement Corporation Limited (NS),$1.220,$0.000 / 0.00%,0,$0.00,"$159,059,235"
LIV,Smartshares Healthcare Innovation ETF,$3.632,$0.000 / 0.00%,"17,244","$62,461.11","$38,280,118"
PYS,PaySauce Limited,$0.325,$0.000 / 0.00%,"19,592","$6,370.68","$44,993,794"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$2.430,$0.000 / 0.00%,"2,188","$5,312.38","$256,313,345"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$2.290,$0.000 / 0.00%,0,$0.00,"$120,773,553"
MDZ,Smartshares NZ Mid Cap ETF,$6.757,-$0.039 / -0.57%,"18,546","$125,639.76","$201,633,434"
MEL,Meridian Energy Limited (NS),$5.160,$0.020 / 0.39%,"367,471","$1,906,230.39","$13,220,509,055"
MFB,My Food Bag Group Limited,$1.420,-$0.020 / -1.39%,"108,249","$154,835.49","$344,261,284"
MFT,Mainfreight Limited,$94.670,-$0.430 / -0.45%,"82,068","$7,734,384.52","$9,533,131,539"
MLN,Marlin Global Limited,$1.600,$0.025 / 1.59%,"84,708","$134,526.78","$304,415,944"
MLNWE,Marlin Global Limited,$0.241,-$0.001 / -0.41%,"41,043","$9,891.36","$11,388,906"
SVR,Savor Limited,$0.495,$0.005 / 1.02%,"7,206","$3,516.37","$30,698,300"
MOV,Move Logistics Group Limited,$1.670,-$0.050 / -2.91%,"138,641","$231,106.30","$146,433,753"
MPG,Metro Performance Glass Limited,$0.440,$0.000 / 0.00%,"384,439","$169,156.46","$81,566,358"
MCY,Mercury NZ Limited (NS),$6.645,-$0.005 / -0.08%,"185,032","$1,229,426.69","$9,052,489,700"
MWE,Marlborough Wine Estates Group Limited,$0.245,$0.000 / 0.00%,"37,969","$9,306.50","$72,753,758"
GEN,General Capital Limited,$0.059,$0.003 / 5.36%,440,$25.96,"$9,609,553"
MZY,Smartshares Australian Mid Cap ETF,$9.440,-$0.052 / -0.55%,"3,736","$35,393.53","$185,092,667"
APL,Asset Plus Limited,$0.335,-$0.005 / -1.47%,"128,357","$43,139.25","$121,510,463"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.400,$0.030 / 1.27%,"1,725","$4,112.93","$91,923,425"
NPF,Smartshares NZ Property ETF,$1.571,-$0.009 / -0.57%,"69,421","$109,016.58","$146,317,831"
NPH,Napier Port Holdings Limited,$3.280,-$0.010 / -0.30%,"22,430","$73,552.97","$655,593,073"
MMH,Marsden Maritime Holdings Limited,$6.410,-$0.130 / -1.99%,"2,519","$16,415.88","$264,737,173"
NTLOB,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,0,$0.00,"$51,109"
NWF,NZ Windfarms Limited,$0.270,$0.000 / 0.00%,"589,511","$154,459.46","$77,777,168"
NZA,NZ Automotive Investments Limited,$1.140,$0.000 / 0.00%,108,$122.17,"$51,932,130"
NZB,Smartshares NZ Bond ETF,$3.047,$0.000 / 0.00%,"72,283","$220,190.59","$317,867,970"
NZC,Smartshares NZ Cash ETF,$2.949,-$0.001 / -0.03%,"6,785","$20,010.04","$322,189,197"
BGI,Blackwell Global Holdings Limited,$0.005,$0.000 / 0.00%,"30,803",$154.05,"$2,511,652"
NZG,Smartshares S&P/NZX 50 ETF,$2.848,-$0.016 / -0.56%,"41,790","$119,050.19","$262,869,950"
SMW,SMW Group Limited,$1.000,$0.000 / 0.00%,0,$0.00,"$54,122,884"
NZK,New Zealand King Salmon Investments Limited,$1.410,-$0.010 / -0.70%,"23,370","$33,213.97","$195,969,745"
NZL,New Zealand Rural Land Company Limited (NS),$1.100,$0.000 / 0.00%,"66,771","$73,574.27","$86,824,067"
NZM,NZME Limited,$1.000,$0.000 / 0.00%,"1,309","$1,308.18","$197,570,061"
NZO,New Zealand Oil & Gas Limited,$0.420,-$0.010 / -2.33%,794,$333.64,"$69,060,902"
NZR,The New Zealand Refining Company Limited,$0.990,$0.010 / 1.02%,"361,634","$352,095.93","$310,349,713"
NZX,NZX Limited,$1.810,$0.000 / 0.00%,"91,659","$166,784.55","$506,056,003"
OCA,Oceania Healthcare Limited,$1.540,$0.010 / 0.65%,"474,641","$725,440.28","$1,086,787,023"
OZY,Smartshares Australian Top 20 ETF,$4.377,-$0.019 / -0.43%,"15,598","$68,566.45","$178,280,756"
PCTHA,Precinct Properties New Zealand Limited (NS),$1.210,$0.010 / 0.83%,"7,450","$9,014.50","$181,500,000"
PEB,Pacific Edge Limited,$1.450,-$0.040 / -2.68%,"419,178","$609,555.04","$1,057,161,504"
PFI,Property for Industry Limited,$2.995,-$0.030 / -0.99%,"51,547","$155,061.98","$1,510,843,001"
PLP,Private Land and Property Fund,$1.180,$0.000 / 0.00%,96,$113.28,"$85,094,421"
POT,Port of Tauranga Limited,$7.100,-$0.100 / -1.39%,"105,520","$753,997.80","$4,830,096,737"
PPH,Pushpay Holdings Limited,$1.830,$0.000 / 0.00%,"2,534,641","$4,668,727.25","$2,085,391,156"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$21,284,975"
QEX,QEX Logistics Limited,$0.285,$0.000 / 0.00%,0,$0.00,"$16,142,586"
RAD,Radius Residential Care Limited,$0.560,$0.020 / 3.70%,"626,721","$343,888.67","$150,776,130"
RAK,Rakon Limited,$1.150,$0.000 / 0.00%,"132,901","$153,768.37","$263,413,563"
ARB,ArborGen Holdings Limited,$0.310,$0.000 / 0.00%,"37,544","$11,783.43","$155,381,960"
RBD,Restaurant Brands New Zealand Limited,$15.770,-$0.050 / -0.32%,"9,487","$149,792.64","$1,967,441,908"
PGW,PGG Wrightson Limited,$3.740,-$0.020 / -0.53%,"140,368","$525,672.01","$282,310,470"
MEE,Me Today Limited,$0.085,$0.000 / 0.00%,"89,805","$7,606.40","$60,049,652"
RUA,Rua Bioscience Limited,$0.400,$0.000 / 0.00%,"39,063","$15,637.57","$56,128,564"
RYM,Ryman Healthcare Limited,$15.250,-$0.360 / -2.31%,"139,114","$2,143,989.49","$7,625,000,000"
GSH,Good Spirits Hospitality Limited,$0.072,$0.001 / 1.41%,"21,886","$1,554.59","$4,156,881"
SAN,Sanford Limited (NS),$5.040,$0.020 / 0.40%,"50,300","$251,189.70","$471,270,930"
SCL,Scales Corporation Limited,$5.110,-$0.020 / -0.39%,"29,735","$151,808.40","$727,637,617"
SCT,Scott Technology Limited,$2.960,$0.000 / 0.00%,"13,629","$40,647.14","$232,850,872"
SCY,Smiths City Group Limited (in receivership),$0.140,$0.000 / 0.00%,0,$0.00,"$7,376,341"
SDL,Solution Dynamics Limited,$3.000,$0.000 / 0.00%,"2,228","$6,684.00","$43,919,430"
SEK,Seeka Limited,$5.440,$0.100 / 1.87%,"29,661","$159,767.94","$214,500,147"
SKC,SkyCity Entertainment Group Limited (NS),$3.400,$0.010 / 0.29%,"660,753","$2,236,498.04","$2,584,697,711"
SKO,Serko Limited,$8.100,-$0.150 / -1.82%,"168,261","$1,370,882.81","$875,102,495"
SKT,Sky Network Television Limited,$0.210,$0.000 / 0.00%,"3,678,130","$760,384.04","$366,844,707"
SKL,Skellerup Holdings Limited,$5.540,$0.000 / 0.00%,"69,192","$383,855.26","$1,081,831,156"
SML,Synlait Milk Limited (NS),$3.180,$0.010 / 0.32%,"160,422","$512,121.70","$695,089,682"
PX1,Plexure Group Limited,$0.670,-$0.030 / -4.29%,"242,166","$165,274.92","$116,878,393"
GWC,Goodwood Capital Limited,$0.025,$0.000 / 0.00%,0,$0.00,"$835,245"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$2.640,-$0.010 / -0.38%,"472,144","$1,245,909.43","$1,249,340,461"
SPN,South Port New Zealand Limited,$9.200,$0.000 / 0.00%,141,"$1,314.69","$241,361,062"
SUM,Summerset Group Holdings Limited,$15.060,-$0.340 / -2.21%,"276,546","$4,181,748.66","$3,457,879,507"
STU,Steel & Tube Holdings Limited,$1.100,$0.000 / 0.00%,"298,419","$332,415.07","$182,597,294"
TAH,Third Age Health Services Limited,$2.300,$0.050 / 2.22%,"7,966","$18,320.16","$22,425,000"
SPK,Spark New Zealand Limited,$4.870,-$0.060 / -1.22%,"2,248,850","$10,998,643.62","$9,092,899,203"
TNZ,Smartshares NZ Top 10 ETF,$2.171,-$0.020 / -0.91%,"36,228","$79,221.86","$169,623,645"
TPW,Trustpower Limited,$7.850,$0.000 / 0.00%,"13,495","$105,761.06","$2,456,838,050"
TRU,TruScreen Group Limited,$0.063,$0.001 / 1.61%,"385,455","$24,287.13","$22,860,574"
VTL,Vital Limited,$0.700,$0.000 / 0.00%,92,$65.32,"$28,966,616"
TGG,T&G Global Limited,$2.970,$0.020 / 0.68%,902,"$2,678.26","$363,953,316"
TWF,Smartshares Total World ETF,$3.023,-$0.008 / -0.26%,"42,088","$127,548.14","$139,594,749"
TWH,Smartshares Total World (NZD Hedged) ETF,$3.373,$0.017 / 0.51%,"35,315","$119,083.55","$77,544,693"
TWR,Tower Limited,$0.690,-$0.005 / -0.72%,"84,890","$59,040.35","$290,936,608"
USA,Smartshares US Equities ESG ETF,$3.018,-$0.006 / -0.20%,"23,775","$71,858.55","$52,699,610"
USF,Smartshares US 500 ETF,$11.611,-$0.036 / -0.31%,"51,295","$598,581.39","$425,624,357"
USG,Smartshares US Large Growth ETF,$8.416,$0.030 / 0.36%,"47,823","$402,371.36","$185,647,416"
USM,Smartshares US Mid Cap ETF,$6.922,$0.005 / 0.07%,"8,595","$59,502.63","$101,980,061"
USS,Smartshares US Small Cap ETF,$6.322,-$0.021 / -0.33%,"2,438","$15,392.32","$89,100,441"
USV,Smartshares US Large Value ETF,$3.976,-$0.027 / -0.67%,"6,901","$27,363.46","$73,528,868"
VCT,Vector Limited (NS),$4.190,$0.055 / 1.33%,"102,446","$426,792.74","$4,190,000,000"
VGL,Vista Group International Limited,$2.380,-$0.050 / -2.06%,"1,168,816","$2,754,275.63","$544,579,253"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
TRA,Turners Automotive Group Limited,$4.500,$0.100 / 2.27%,"27,766","$123,626.54","$387,311,616"
WDT,Wellington Drive Technologies Limited,$0.134,$0.001 / 0.75%,"284,697","$38,439.63","$57,876,559"
WHS,The Warehouse Group Limited,$3.880,$0.020 / 0.52%,"96,457","$374,161.91","$1,345,751,306"
ZEL,Z Energy Limited,$3.530,-$0.020 / -0.56%,"471,564","$1,664,330.06","$1,836,083,501"
